;commit_hash_origem;commit_hash_anterior;commit_hash_destino;project_id;merge_commit_id;floss
140;d2a3827a65f208eae7aed129dcb6dc582ac1f3d5;060c7961d0a8374f53312a1cf9ea4b78a0e47b9c;37f5175935a37ce2c005335c2f486efb827b6eba;28;148709;yes
154;93c99a65e70cd21c8b4e26c161b990b0155449b9;7e53db0b927ad2f7bd25dbebc6c01a942afd79da;0368e97ee4a807cb832a90c590ae5c65a98730c1;28;110693;yes
156;b4d7f3bed0687b449f6a275d9dd675e25d794aeb;857de554066ecbe507ebab13b9cfe6a2749c403f;e2f35c767e479da9761628578299b54872d7eea9;28;146869;yes
189;f81a91d3fe0d1cd93f093c74356a1d7d018ed22f;1568293408f6f5d6d01306ccff56df969768da88;e2c6341898fa43b0e262ef031f267587050b8d0f;28;108720;yes
190;b4133f38d5ef5fc50047eb4a31307ac97c5b72ee;3c95d4731cfc1ad575f92e6c1944bf6f881e74d2;7d857b46fb070548bf5e5f6ff81db588f08ec22a;28;108720;yes
195;ab98b1151ecb61a62df30b9777fa962d60e97767;6eff0829d2b3fe8fcac6622971b66792a4e82fef;b39d984f7bd682c7638415d65dcc4ac9bcb74e5f;28;115842;yes
196;e0adc166a33033c9d2668547803a1e034c2c2494;bb7e522b472821d7297b944c5270054231876bc5;9562b9b69e08b84ec1e8e431a846548fa8a83b44;28;108079;yes
198;54836ec0c5f41fed53c1010acb27f311e615a7f3;858004791977f0db56da201f1ab84c4efe75d974;9797511c56df4e9c7db964a6b83e67642df96c2d;28;114706;yes
201;21448c50891642f95097a9e5ed0a3802bd90a877;0e5266664eaf71cad06407685dd8b947aac2179e;2bc5f0c61ddb428b4826d83d42dad473eaeac002;28;113459;yes
209;310a48efcfdc0fb77fbd5fd6e734bf17667f617d;8b25cd58bfa646db9e6c24c51896950da02945db;d4eba9faa1b57fed205813a639fe53bbbdc06ef1;28;74152;no
